name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;24.1.1984 11:00;1,5;;70;9.9;;;12;1000;;;;;;;6.1;4.1;3;730
Et kaup selkä 1;5520;227911;7005357;2.4;20.3.1984 11:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.3.1984 11:00;1,0;;57;8;;;24;1800;;0.3;;;;;6.3;4.4;2.3;740
Et kaup selkä 1;5520;227911;7005357;2.4;20.3.1984 11:00;1,5;;55;7.8;;;;;;0.3;;;;;5.3;2.3;6.6;350
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1984 12:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1984 12:00;0,0-1,7;;;;;5.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1984 12:00;1,0;0;105;10.5;;;13;380;0;14.1;;;;;8;4.4;1.1;740
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1984 14:00;0,0-1,4;;;;;2.4;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1984 14:00;1,0;0;103;9.2;;;19;310;0;19.6;;;;;7.9;4.6;1.4;745
Et kaup selkä 1;5520;227911;7005357;2.4;21.8.1984 12:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.8.1984 12:00;0,0-1,6;;;;;4.2;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.8.1984 12:00;1,0;5;100;9.7;;;20;370;69;15.9;;;;;7.6;3.3;2.6;580
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1984 12:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1984 12:00;1,0;29;98;11.3;;;23;380;130;7.9;;;;;7;3.8;3.6;660
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1985 11:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1985 11:00;0,8;;;13;;;;;;;;;;;;2.4;;485
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1985 11:00;1,0;;;12.4;;;13;4900;;;;;;;4.9;2.9;6.8;535
Et kaup selkä 1;5520;227911;7005357;2.4;14.3.1985 10:00;1,0;;41;5.8;;;8;1400;;-0.1;;;;;6.3;4.7;1;740
Et kaup selkä 1;5520;227911;7005357;2.4;27.5.1985 0:00;0,0-1,5;;;;;0.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.6.1985 12:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.6.1985 12:00;0,0-2,0;;;;;1.2;8;1500;;11.8;670;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.6.1985 12:00;1,0;0;99;10.6;;;8;1600;0;11.7;;;;;6.5;2.6;3.2;490
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1985 0:00;0,0-1,5;;;;;2.2;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1985 11:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1985 11:00;0,0-2,0;;;;;4.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1985 11:00;1,0;0;100;9.3;;;18;910;0;18;;;;;7.8;3.3;3.8;590
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.1985 0:00;0,0-1,5;;;;;5.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1985 12:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1985 12:00;0,0-2,0;;;;;2.3;12;300;;18.3;11;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1985 12:00;1,0;0;107;9.8;;;14;290;1;18.4;;;;;8;4.1;1.3;720
Et kaup selkä 1;5520;227911;7005357;2.4;8.10.1985 11:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.10.1985 11:00;1,0;1;101;11.3;;;16;260;1;9.3;;;;;7.8;3.9;3.1;705
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.1986 12:00;0,7;;48;6.8;;;;;;-0.1;;;;;5.9;3.4;;520
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.1986 12:00;1,0;;59;8.3;;;7;1400;;0.1;;;;;6.2;3.5;1.6;620
